Designator,Mid X,Mid Y,Rotation,Layer
SW11,221.45,-137.01,90.0,top
SW12,227.7,-167.01,90.0,top
SW13,233.95,-197.01,90.0,top
SW14,240.2,-227.01,90.0,top
SW15,246.45,-137.01,90.0,top
SW16,252.7,-167.01,90.0,top
SW17,258.95,-197.01,90.0,top
SW18,265.2,-227.01,90.0,top
SW19,108.66,-119.725,0.0,top
SW2,177.7,-167.01,90.0,top
SW20,82.8,-143.075,0.0,top
SW21,271.45,-137.01,90.0,top
SW22,277.7,-167.01,90.0,top
SW23,283.95,-197.01,90.0,top
SW24,290.2,-227.01,90.0,top
SW25,296.45,-137.01,90.0,top
SW26,302.7,-167.01,90.0,top
SW27,308.95,-197.01,90.0,top
SW28,315.2,-227.01,90.0,top
SW29,321.45,-137.01,90.0,top
SW3,183.95,-197.01,90.0,top
SW30,327.7,-167.01,90.0,top
SW31,333.95,-197.01,90.0,top
SW32,340.2,-227.01,90.0,top
SW33,82.55,-165.825,0.0,top
SW34,108.41,-165.925,0.0,top
SW35,346.45,-137.01,90.0,top
SW36,352.7,-167.01,90.0,top
SW37,358.95,-197.01,90.0,top
SW38,365.2,-227.01,90.0,top
SW39,371.45,-137.01,90.0,top
SW4,190.2,-227.01,90.0,top
SW40,377.7,-167.01,90.0,top
SW41,383.95,-197.01,90.0,top
SW42,390.2,-227.01,90.0,top
SW43,396.45,-137.01,90.0,top
SW44,402.7,-167.01,90.0,top
SW45,408.95,-197.01,90.0,top
SW46,415.2,-227.01,90.0,top
SW47,421.45,-137.01,90.0,top
SW48,427.7,-167.01,90.0,top
SW49,433.95,-197.01,90.0,top
SW5,82.7,-119.625,0.0,top
SW50,440.2,-227.01,90.0,top
SW51,446.45,-137.01,90.0,top
SW52,452.7,-167.01,90.0,top
SW53,458.95,-197.01,90.0,top
SW54,465.2,-227.01,90.0,top
SW55,107.84,-188.05,0.0,top
SW56,107.54,-224.2,180.0,top
SW57,107.64,-206.45,180.0,top
SW58,169.85,-109.3,180.0,top
SW6,196.45,-137.01,90.0,top
SW60,123.85,-139.0,270.0,top
SW61,201.5,-92.6,0.0,top
SW7,202.7,-167.01,90.0,top
SW8,208.95,-197.01,90.0,top
SW9,215.2,-227.01,90.0,top
U1,271.3,-88.86,270.0,bottom
U10,108.44,-76.65,0.0,top
U11,312.556332,-90.015427,180.0,bottom
U12,81.68,-187.95,0.0,top
